round,team_id,orders,sessions,conversion_rate,aov_net,revenue_net,gross_margin_pct,contribution_margin_pct,cac_blended,repeat_order_share,active_customers,ltv_cac_ratio,rating,nps,service_level,instock_rate,delivery_success,rto_rate,return_rate,cash_balance,runway_rounds,market_share,binding_constraint
1,team_01,3503.604985822496,211173.32026376962,0.016591134625559036,2959.024067999999,8967902.885319045,0.392446311618226,0.08839921286391096,584.1355748881011,0.1949986082257714,13140.063119043463,2.194599810026666,4.111091543358194,83.43104482104415,1.0,1.0,0.9559,0.1476,0.08318923358102699,9876856.75021605,4.651997339897397,0.16081650270918643,under_marketing
1,team_02,7144.840967494469,223641.4057626893,0.0319477555738315,2012.136366239999,12435900.544449732,0.10653869355621486,-0.19448717144590966,253.53977390818898,0.08473709520770799,16654.313059041357,0.2185085766526011,4.063626079231118,72.43166450270002,1.0,1.0,0.9559,0.1476,0.08488083150794008,11347583.480177635,17.39315779935688,0.22300620994364442,wasted_spend
1,team_03,2739.2144614028794,162567.09681371422,0.01684974705885132,2959.024067999999,7011352.413107646,0.3924463116182262,0.06665742758697599,675.0925869611964,0.22102434031267518,12248.686552949766,1.9034843324313406,4.2246994836768215,88.2025783144265,1.0,1.0,0.9559,0.1476,0.07171573111856415,8885555.016889203,2.8530139607777105,0.12573075207844123,under_marketing
1,team_04,3200.3775278493777,190705.80290896515,0.01678175220172562,2959.024067999999,8191755.344066843,0.39244631161822624,0.06612234728748613,696.1381076285894,0.2426067606770304,12981.324102874278,1.8370709425212983,4.118451414517447,83.74015940973278,1.0,1.0,0.9559,0.1476,0.08210115548589372,9371269.451584198,3.564941053860301,0.14689827291046215,under_marketing
1,team_05,4846.406946430744,301810.9644155443,0.016057756403302946,2959.024067999999,12404967.744422678,0.3924463116182263,0.061307300406440716,616.6036565575849,0.12492410893237048,14355.87903797763,2.0825568966049715,4.099649402531146,82.9504749063081,1.0,1.0,0.9559,0.1476,0.08488083150794008,10878739.27621022,9.702238779434703,0.22245150894130675,under_marketing
1,team_06,2638.2565339442563,152763.25880310475,0.017270229468884808,2959.024067999999,6752938.324585771,0.39244631161822624,0.12321179796019627,494.6322282732913,0.2294822590286072,12147.728625491141,2.5980515437907736,4.099649402531146,82.9504749063081,1.0,1.0,0.9559,0.1476,0.08488083150794008,9315495.308299694,3.4700983526311027,0.12109675341695912,under_marketing
2,team_01,3353.3806170512726,198800.90159986087,0.01686803525569936,2959.024067999999,7825657.646569387,0.37879617471169696,0.023559953055496664,676.0033286387402,0.24233416443036457,14960.702416976885,1.612720425630812,4.11885562370893,83.75713619577505,1.0,1.0,0.9559,0.1476,0.08318923358102699,8041521.911178522,4.381501260770265,0.1711645072332178,under_marketing
2,team_02,4715.021749250994,209801.30953710937,0.0224737479458726,2012.136366239999,7134579.945148684,0.0753850120126764,-0.3795433196652653,441.52092519520124,0.13626831883937157,17763.675626345135,0.12210127474496103,4.036335736503924,70.82832056091382,0.6967888599872623,1.0,0.9559,0.1476,0.08488083150794008,9437869.790088609,4.942033897054294,0.15604910357440907,stock_out
2,team_03,3068.649973614184,179855.96619056404,0.017061707980055754,2959.024067999999,7343876.168958537,0.3826425957993331,0.005105720630928428,755.3727477017991,0.22022440220249975,13762.663599105887,1.5230201389069054,4.311989122250597,91.86874313452506,1.0,1.0,0.9559,0.1476,0.07171573111856415,6281606.953505158,2.412339570759984,0.1606268766680086,under_marketing
2,team_04,3059.9918957213486,178836.49435547765,0.017110556247199343,2959.024067999999,6747504.957682634,0.3697791205662332,-0.020709339892841797,767.4845311098828,0.29740579198627015,14657.706712906242,1.245590225317253,4.131367404679661,84.28263099654578,1.0,1.0,0.9559,0.1476,0.13039595283053712,5542061.9031130215,1.4473130100575793,0.14758291421574543,under_marketing
